,County,Child_Mortality,CMBIN,Severe_Housing_Issues,SHBIN,CountyPOP,WhiteBlackSeg,WhiteBlackBin,WhiteNonWhiteSeg,WhiteNonWhiteBin,Limited Access to Healthy Foods,Children in Poverty,High School Graduation,ChildPovertyRank,GradRank,FoodRank,SOL PassRate,SOL AdvPassRate
1,Accomack,0.671919858,Moderate,0.15,Moderate,32742,21,Moderate,19,Low,0.02,0.27,0.86,High,Moderate,Very Low,73.89655172,10.03448276
2,Albemarle,0.169244511,Very Low,0.13,Low,106355,38,High,29,Moderate,0.04,0.1,0.93,Very Low,High,Very Low,79.12903226,22.96774194
3,Alexandria City,0.364205616,Low,0.17,High,156505,40,High,36,High,NA,0.16,0.81,Low,Low,NA,68,16.82758621
4,Alleghany,NA,NA,0.12,Low,15286,44,Very High,40,High,0.05,0.21,0.94,Moderate,High,Very Low,75.34482759,11.65517241
5,Amelia,NA,NA,0.12,Low,12854,7,Very Low,3,Very Low,0.06,0.13,0.9,Low,Moderate,Very Low,78.82142857,11.07142857
6,Amherst,0.34502227,Low,0.13,Low,31882,19,Low,14,Low,0.06,0.19,0.93,Moderate,High,Very Low,77.32142857,12
7,Appomattox,1.027155421,Very High,0.12,Low,15577,5,Very Low,6,Very Low,0.01,0.19,0.94,Moderate,High,Very Low,83.64285714,15.39285714
8,Arlington,0.207072385,Very Low,0.16,Moderate,231803,52,Very High,34,High,0,0.07,0.92,Very Low,High,Very Low,84.80645161,26.19354839
9,Augusta,0.16064042,Very Low,0.1,Very Low,74701,37,High,28,Moderate,0.04,0.12,0.95,Low,High,Very Low,81,20.4516129
10,Bath,NA,NA,0.12,Low,4393,NA,NA,NA,NA,0.09,0.15,0.94,Low,High,Very Low,78.51724138,13.68965517
11,Bedford,0.385069569,Low,0.1,Very Low,77908,34,High,30,Moderate,0.02,0.13,0.92,Low,High,Very Low,79.83333333,16.66666667
12,Bland,NA,NA,0.07,Very Low,6447,NA,NA,NA,NA,0.09,0.15,0.95,Low,High,Very Low,85.14285714,16.75
13,Botetourt,0.301005358,Low,0.1,Very Low,33222,26,Moderate,27,Moderate,0.08,0.09,0.95,Very Low,High,Very Low,86.35714286,19.78571429
