"","County","PassRate","AdvPassRate"
"1","Accomack County",73.8965517241379,10.0344827586207
"2","Albemarle County",79.1290322580645,22.9677419354839
"3","Alexandria City",68,16.8275862068966
"4","Alleghany County",75.3448275862069,11.6551724137931
"5","Amelia County",78.8214285714286,11.0714285714286
"6","Amherst County",77.3214285714286,12
"7","Appomattox County",83.6428571428571,15.3928571428571
"8","Arlington County",84.8064516129032,26.1935483870968
"9","Augusta County",81,20.4516129032258
"10","Bath County",78.5172413793103,13.6896551724138
"11","Bedford County",79.8333333333333,16.6666666666667
"12","Bland County",85.1428571428571,16.75
"13","Botetourt County",86.3571428571429,19.7857142857143
"14","Bristol City",75.1034482758621,14.5172413793103
"15","Brunswick County",66.3571428571429,7.25
"16","Buchanan County",74.3448275862069,11.7586206896552
"17","Buckingham County",68.5,9.96428571428571
"18","Buena Vista City",71.9655172413793,13.0689655172414
"19","Campbell County",81.0333333333333,17.7
"20","Caroline County",74.8928571428571,12.6785714285714
"21","Carroll County",78.1379310344828,13.1379310344828
"22","Charles City County",65.5357142857143,7.17857142857143
"23","Charlotte County",83.3571428571429,15.6428571428571
"24","Charlottesville City",73.6896551724138,21.551724137931
"25","Chesapeake City",83.9354838709677,21.1935483870968
"26","Chesterfield County",82.4193548387097,20.4193548387097
"27","Clarke County",79.4285714285714,14.2142857142857
"28","Colonial Beach",78.8214285714286,14.8571428571429
"29","Colonial Heights City",78.9285714285714,12.8928571428571
"30","Covington City",71.8214285714286,9.64285714285714
"31","Craig County",73.5357142857143,9.57142857142857
"32","Culpeper County",79.3103448275862,17.6206896551724
"33","Cumberland County",73.4074074074074,11.4074074074074
"34","Danville City",56.3571428571429,7.17857142857143
"35","Dickenson County",84.6206896551724,16.3793103448276
"36","Dinwiddie County",76.9310344827586,14.1379310344828
"37","Essex County",61.1785714285714,5.57142857142857
"38","Fairfax County",83.6333333333333,26.7666666666667
"39","Falls Church City",90.1785714285714,29.0357142857143
"40","Fauquier County",79.9666666666667,18.7333333333333
"41","Floyd County",78.9642857142857,15.0714285714286
"42","Fluvanna County",80.4137931034483,17.3448275862069
"43","Franklin City",72.8928571428571,8.25
"44","Franklin County",81.5,16.75
"45","Frederick County",78.6333333333333,16.9333333333333
"46","Fredericksburg City",65.4827586206897,10.448275862069
"47","Galax City",80.0714285714286,13.1428571428571
"48","Giles County",83.4137931034483,17.1724137931034
"49","Gloucester County",83.5,17.75
"50","Goochland County",84.2068965517241,18.3103448275862
"51","Grayson County",82.1785714285714,13.7857142857143
"52","Greene County",74.6551724137931,14.3448275862069
"53","Greensville County",62.0357142857143,7.5
"54","Halifax County",74.3793103448276,10.5172413793103
"55","Hampton City",75.3548387096774,13.0322580645161
"56","Hanover County",85.8333333333333,20.6333333333333
"57","Harrisonburg City",68.0357142857143,12.8214285714286
"58","Henrico County",80.1612903225806,21.9032258064516
"59","Henry County",78.5666666666667,15.1333333333333
"60","Highland County",81.7727272727273,13.1818181818182
"61","Hopewell City",72.8333333333333,11.9
"62","Isle of Wight County",80.9642857142857,16.3214285714286
"63","King and Queen County",76.8275862068966,10.5172413793103
"64","King George County",82.1379310344828,17.9310344827586
"65","King William County",77.1428571428571,11.1428571428571
"66","Lancaster County",66.6428571428571,8.32142857142857
"67","Lee County",80.8571428571429,14.4285714285714
"68","Lexington City",82.5789473684211,35.2631578947368
"69","Loudoun County",85.1935483870968,24.6774193548387
"70","Louisa County",82.4642857142857,18.6785714285714
"71","Lunenburg County",74.8214285714286,11.6428571428571
"72","Lynchburg City",71.6333333333333,15.8
