"","County","Child_Mortality","CMBIN","Severe_Housing_Issues","SHBIN","CountyPOP","WhiteBlackSeg","WhiteBlackBin","WhiteNonWhiteSeg","WhiteNonWhiteBin","Limited Access to Healthy Foods","Children in Poverty","High School Graduation","ChildPovertyRank","GradRank","FoodRank","SOL PassRate","SOL AdvPassRate","PassRank","AdvPassRank"
"1","Accomack","0.67191985799999998","Moderate",0.15,"Moderate",32742,"21","Moderate","19","Low","0.02",0.27,0.86,"High","Moderate","Very Low",73.8965517241379,10.0344827586207,"Moderate","Very Low"
"2","Albemarle","0.16924451099999999","Very Low",0.13,"Low",106355,"38","High","29","Moderate","0.04",0.1,0.93,"Very Low","High","Very Low",79.1290322580645,22.9677419354839,"High","Moderate"
"3","Alexandria City","0.36420561600000001","Low",0.17,"High",156505,"40","High","36","High","NA",0.16,0.81,"Low","Low","NA",68,16.8275862068966,"Low","Low"
"4","Alleghany","NA","NA",0.12,"Low",15286,"44","Very High","40","High","0.05",0.21,0.94,"Moderate","High","Very Low",75.3448275862069,11.6551724137931,"Moderate","Low"
"5","Amelia","NA","NA",0.12,"Low",12854,"7","Very Low","3","Very Low","0.06",0.13,0.9,"Low","Moderate","Very Low",78.8214285714286,11.0714285714286,"High","Very Low"
"6","Amherst","0.34502227000000002","Low",0.13,"Low",31882,"19","Low","14","Low","0.06",0.19,0.93,"Moderate","High","Very Low",77.3214285714286,12,"High","Low"
"7","Appomattox","1.027155421","Very High",0.12,"Low",15577,"5","Very Low","6","Very Low","0.01",0.19,0.94,"Moderate","High","Very Low",83.6428571428571,15.3928571428571,"Very High","Low"
"8","Arlington","0.207072385","Very Low",0.16,"Moderate",231803,"52","Very High","34","High","0",0.07,0.92,"Very Low","High","Very Low",84.8064516129032,26.1935483870968,"Very High","High"
"9","Augusta","0.16064042000000001","Very Low",0.1,"Very Low",74701,"37","High","28","Moderate","0.04",0.12,0.95,"Low","High","Very Low",81,20.4516129032258,"High","Moderate"
"10","Bath","NA","NA",0.12,"Low",4393,"NA","NA","NA","NA","0.09",0.15,0.94,"Low","High","Very Low",78.5172413793103,13.6896551724138,"High","Low"
"11","Bedford","0.385069569","Low",0.1,"Very Low",77908,"34","High","30","Moderate","0.02",0.13,0.92,"Low","High","Very Low",79.8333333333333,16.6666666666667,"High","Low"
"12","Bland","NA","NA",0.07,"Very Low",6447,"NA","NA","NA","NA","0.09",0.15,0.95,"Low","High","Very Low",85.1428571428571,16.75,"Very High","Low"
"13","Botetourt","0.301005358","Low",0.1,"Very Low",33222,"26","Moderate","27","Moderate","0.08",0.09,0.95,"Very Low","High","Very Low",86.3571428571429,19.7857142857143,"Very High","Moderate"
"14","Bristol City","0.65309030499999998","Moderate",0.14,"Moderate",16843,"31","High","22","Moderate","0.15",0.33,0.91,"Very High","High","Low",75.1034482758621,14.5172413793103,"Moderate","Low"
"15","Brunswick","0.60006000599999998","Moderate",0.15,"Moderate",16665,"19","Low","19","Low","0.04",0.27,0.89,"High","Moderate","Very Low",66.3571428571429,7.25,"Low","Very Low"
"16","Buchanan","0.58722558499999999","Moderate",0.14,"Moderate",22138,"70","Very High","45","Very High","NA",0.32,0.9,"Very High","Moderate","NA",74.3448275862069,11.7586206896552,"Moderate","Low"
"17","Buckingham","NA","NA",0.14,"Moderate",17004,"16","Low","12","Low","0.04",0.25,0.95,"High","High","Very Low",68.5,9.96428571428571,"Moderate","Very Low"
"18","Buena Vista City","NA","NA",0.25,"Very High",6399,"NA","NA","NA","NA","0.53",0.2,0.87,"Moderate","Moderate","Very High",71.9655172413793,13.0689655172414,"Moderate","Low"
"19","Campbell","0.38064165300000002","Low",0.1,"Very Low",55170,"21","Moderate","19","Low","0.04",0.17,0.91,"Low","High","Very Low",81.0333333333333,17.7,"High","Moderate"
"20","Caroline","0.46382189200000001","Low",0.11,"Low",30184,"15","Low","13","Low","0.01",0.15,0.88,"Low","Moderate","Very Low",74.8928571428571,12.6785714285714,"Moderate","Low"
"21","Carroll","0.33627009200000002","Low",0.11,"Low",29738,"NA","NA","19","Low","0.02",0.23,0.91,"Moderate","High","Very Low",78.1379310344828,13.1379310344828,"High","Low"
"22","Charles City","NA","NA",0.12,"Low",6995,"10","Very Low","12","Low","0.01",0.19,0.9,"Moderate","Moderate","Very Low",65.5357142857143,7.17857142857143,"Low","Very Low"
"23","Charlotte","0.99214551500000003","Very High",0.15,"Moderate",12095,"2","Very Low","3","Very Low","0.15",0.3,0.89,"High","Moderate","Low",83.3571428571429,15.6428571428571,"Very High","Low"
"24","Charlottesville City","0.340121593","Low",0.22,"Very High",47042,"37","High","31","High","0.03",0.18,0.93,"Moderate","High","Very Low",73.6896551724138,21.551724137931,"Moderate","Moderate"
"25","Chesapeake City","0.546631906","Moderate",0.16,"Moderate",237820,"40","High","35","High","0.05",0.12,0.93,"Low","High","Very Low",83.9354838709677,21.1935483870968,"Very High","Moderate"
"26","Chesterfield","0.41243552","Low",0.12,"Low",339447,"36","High","31","High","7.0000000000000007E-2",0.1,0.91,"Very Low","High","Very Low",82.4193548387097,20.4193548387097,"High","Moderate"
"27","Clarke","0.69613644299999999","Moderate",0.17,"High",14365,"24","Moderate","22","Moderate","0",0.08,0.99,"Very Low","Very High","Very Low",79.4285714285714,14.2142857142857,"High","Low"
"28","Colonial Heights City","0.79577104499999995","High",0.18,"High",17593,"31","High","19","Low","0.03",0.17,0.92,"Low","High","Very Low",78.9285714285714,12.8928571428571,"High","Low"
"29","Covington City","NA","NA",0.14,"Moderate",5582,"39","High","36","High","0.1",0.26,0.81,"High","Low","Very Low",71.8214285714286,9.64285714285714,"Moderate","Very Low"
"30","Craig","NA","NA",0.08,"Very Low",5113,"NA","NA","NA","NA","0.04",0.21,0.88,"Moderate","Moderate","Very Low",73.5357142857143,9.57142857142857,"Moderate","Very Low"
"31","Culpeper","0.35678890000000002","Low",0.15,"Moderate",50450,"28","Moderate","31","High","0.01",0.11,0.92,"Low","High","Very Low",79.3103448275862,17.6206896551724,"High","Moderate"
"32","Cumberland","NA","NA",0.19,"High",9786,"0","Very Low","0","Very Low","0.24",0.25,0.94,"High","High","Moderate",73.4074074074074,11.4074074074074,"Moderate","Low"
"33","Danville City","1.084023897","Very High",0.17,"High",41512,"34","High","32","High","0.06",0.38,0.81,"Very High","Low","Very Low",56.3571428571429,7.17857142857143,"Very Low","Very Low"
"34","Dickenson","NA","NA",0.15,"Moderate",14960,"NA","NA","42","Very High","NA",0.29,0.91,"High","High","NA",84.6206896551724,16.3793103448276,"Very High","Low"
"35","Dinwiddie","0.52988554499999996","Moderate",0.16,"Moderate",28308,"22","Moderate","22","Moderate","0.08",0.18,0.88,"Moderate","Moderate","Very Low",76.9310344827586,14.1379310344828,"High","Low"
"36","Essex","0.99673794900000001","Very High",0.13,"Low",11036,"18","Low","13","Low","0.1",0.23,0.93,"Moderate","High","Very Low",61.1785714285714,5.57142857142857,"Low","Very Low"
"37","Fairfax","15.12675466","Very High",0.14,"Moderate",23865,"40","High","26","Moderate","0.02",0.07,0.92,"Very Low","High","Very Low",83.6333333333333,26.7666666666667,"Very High","High"
"38","Falls Church City","NA","NA",0.14,"Moderate",14067,"25","Moderate","12","Low","NA",0.03,0.99,"Very Low","Very High","NA",90.1785714285714,29.0357142857143,"Very High","High"
"39","Fauquier","0.31831006299999998","Low",0.12,"Low",69115,"21","Moderate","18","Low","0.01",0.07,0.96,"Very Low","Very High","Very Low",79.9666666666667,18.7333333333333,"High","Moderate"
"40","Floyd","NA","NA",0.09,"Very Low",15666,"23","Moderate","20","Low","0.1",0.18,0.98,"Moderate","Very High","Very Low",78.9642857142857,15.0714285714286,"High","Low"
"41","Fluvanna","0.38048854700000001","Low",0.14,"Moderate",26282,"13","Low","13","Low","0.03",0.09,0.96,"Very Low","Very High","Very Low",80.4137931034483,17.3448275862069,"High","Moderate"
"42","Franklin","3.044696139","Very High",0.12,"Low",8211,"36","High","35","High","0.06",0.23,0.9,"Moderate","Moderate","Very Low",81.5,16.75,"High","Low"
