"","...1","County","STATEFP","COUNTYFP","Longitude","Latitude","HighGrad","Severe_Housing_Issues","Child_Mortality","WhiteBlackSeg","WhiteNonWhiteSeg","ChildPoverty","HealthyFoods","SOLPassRate","SOLAdvPassRate","TotalScore","0","TotalScoreRank"
"1",1,"Accomack","51","001",37.7063,-75.8069,0.86,-0.15,-0.01343839716,-0.259259259259259,-0.306451612903226,-0.27,-0.02,0.558667423121678,0.165371856763253,0.0627655567291607,0,"5"
"2",2,"Albemarle","51","003",38.0567,-78.6115,0.93,-0.13,-0.00338489022,-0.469135802469136,-0.467741935483871,-0.1,-0.04,0.700496518118141,0.593236659008341,0.112607838772608,0,"5"
"3",3,"Alexandria City","51","510",38.8048,-77.0469,0.81,-0.17,-0.00728411232,-0.493827160493827,-0.580645161290323,-0.16,0,0.398838334861478,0.390104835806875,0.0233983420705254,1,"4"
"4",4,"Alleghany","51","005",37.8532,-80.0535,0.94,-0.12,0,-0.54320987654321,-0.645161290322581,-0.21,-0.05,0.59792369065618,0.218988354116854,0.0235676097384055,1,"4"
"5",5,"Amelia","51","007",37.3213,-77.9739,0.9,-0.12,0,-0.0864197530864197,-0.0483870967741935,-0.13,-0.06,0.692158760789325,0.199676637001526,0.16837856849128,1,"7"
"6",6,"Amherst","51","009",37.5588,-79.1097,0.93,-0.13,-0.0069004454,-0.234567901234568,-0.225806451612903,-0.19,-0.06,0.651500483922672,0.230396119673131,0.107180200594259,0,"5"
"7",7,"Appomattox","51","011",37.4025,-78.793,0.94,-0.12,-0.02054310842,-0.0617283950617284,-0.0967741935483871,-0.19,-0.01,0.822846079250559,0.342640383013714,0.178493418359351,0,"7"
"8",8,"Arlington","51","013",38.8816,-77.091,0.92,-0.16,-0.0041414477,-0.641975308641975,-0.548387096774194,-0.07,0,0.854385909998403,0.699954464597866,0.116648502386678,0,"6"
"9",9,"Augusta","51","015",38.2005,-79.2451,0.95,-0.1,-0.0032128084,-0.45679012345679,-0.451612903225806,-0.12,-0.04,0.751210067705805,0.509996770350769,0.115510111441553,0,"6"
"10",10,"Bath","51","017",38.1117,-79.6502,0.94,-0.12,0,0,0,-0.15,-0.09,0.683913609462452,0.286294170204153,0.258367963277767,3,"8"
"11",11,"Bedford","51","019",37.2539,-79.4704,0.92,-0.1,-0.00770139138,-0.419753086419753,-0.483870967741935,-0.13,-0.02,0.719586963385834,0.384781211946778,0.095893636643436,0,"5"
"12",12,"Bland","51","021",37.0925,-81.1196,0.95,-0.07,0,0,0,-0.15,-0.09,0.863504356117212,0.387538088482277,0.315173740766582,3,"9"
"13",13,"Botetourt","51","023",37.5775,-79.7848,0.95,-0.1,-0.00602010716,-0.320987654320988,-0.435483870967742,-0.09,-0.08,0.896418199449868,0.487967166434416,0.144654859270617,0,"6"
"14",14,"Bristol City","51","520",36.5951,-82.1887,0.91,-0.14,-0.0130618061,-0.382716049382716,-0.354838709677419,-0.33,-0.15,0.591380979445605,0.313672807340721,0.0493819135140212,0,"4"
"15",15,"Brunswick","51","025",36.7571,-77.8367,0.89,-0.15,-0.01200120012,-0.234567901234568,-0.306451612903226,-0.27,-0.04,0.354307841227826,0.0732541508639845,0.0338379197593352,0,"4"
